region,FACILITY_LOCATION_CD
alabama,5
arizona,8
arkansas,7
california,9
colorado,8
connecticut,1
delaware,3
district of columbia,3
florida,3
georgia,3
idaho,8
illinois,4
indiana,4
iowa,6
kansas,6
kentucky,5
louisiana,7
maine,1
maryland,3
massachusetts,1
michigan,4
minnesota,6
mississippi,5
missouri,6
montana,8
nebraska,6
nevada,8
new hampshire,1
new jersey,2
new mexico,8
new york,2
north carolina,3
north dakota,6
ohio,4
oklahoma,7
oregon,9
pennsylvania,2
rhode island,1
south carolina,3
south dakota,6
tennessee,5
texas,7
utah,8
vermont,1
virginia,3
washington,9
west virginia,3
wisconsin,4
wyoming,8
